PARTICLE DATA
-------------
DATA CARDS MUST START IMMEDIATELY AFTER $PRBEG CARD
READING STOPS WHEN CARD WITH ISA ID = 9999 IS FOUND
READING FORMAT: (2I8,2X,A8,F6.2,3F11.5,F14.5)
UNDEFINED MASSES OF HADRONS (I.E. LEFT BLANK) ARE SET EQUAL TO:
      SUM OF QUARK MASSES -.03 + .04*JSPIN
 
  ISA ID  PDG ID  LABEL   CHARGE       MASS      WIDTH      W-CUT   C*LIFET(MM)
 
$PRBEG
       1       2  U          .67     .30000     .00000     .00000        .00000
      -1      -2  UB        -.67     .30000     .00000     .00000        .00000
       2       1  D         -.33     .30000     .00000     .00000        .00000
      -2      -1  DB         .33     .30000     .00000     .00000        .00000
       3       3  S         -.33     .50000     .00000     .00000        .00000
      -3      -3  SB         .33     .50000     .00000     .00000        .00000
       4       4  C          .67    1.60000     .00000     .00000        .00000
      -4      -4  CB        -.67    1.60000     .00000     .00000        .00000
       5       5  B         -.33    4.75000     .00000     .00000        .00000
      -5      -5  BB         .33    4.75000     .00000     .00000        .00000
       6       6  T          .67   90.00000     .00000     .00000        .00000
      -6      -6  TB        -.67   90.00000     .00000     .00000        .00000
 
       9      21  GL         .00     .00000     .00000     .00000        .00000
 
      10      22  GM         .00     .00000     .00000     .00000        .00000
 
      11      12  NUE        .00     .00000     .00000     .00000        .00000
     -11     -12  ANUE       .00     .00000     .00000     .00000        .00000
      12      11  E-       -1.00     .00051     .00000     .00000        .00000
     -12     -11  E+        1.00     .00051     .00000     .00000        .00000
      13      14  NUM        .00     .00000     .00000     .00000        .00000
     -13     -14  ANUM       .00     .00000     .00000     .00000        .00000
      14      13  MU-      -1.00     .10570     .00000     .00000  658650.00000
     -14     -13  MU+       1.00     .10570     .00000     .00000  658650.00000
      15      16  NUT        .00     .00000     .00000     .00000        .00000
     -15     -16  ANUT       .00     .00000     .00000     .00000        .00000
      16      15  TAU-     -1.00    1.78410     .00000     .00000        .09100
     -16     -15  TAU+      1.00    1.78410     .00000     .00000        .09100
 
      20     310  KS         .00     .49770     .00000     .00000      26.75000
     -20     130  KL         .00     .49770     .00000     .00000   15540.00000
 
      80      24  W+        1.00   80.00000    2.30000   20.00000        .00000
     -80     -24  W-       -1.00   80.00000    2.30000   20.00000        .00000
      90      23  Z0         .00   91.20000    2.40000   20.00000        .00000
 
 
 
     110     111  PI0        .00     .13500     .00000     .00000        .00000
     120     211  PI+       1.00     .13960     .00000     .00000    7803.00000
    -120    -211  PI-      -1.00     .13960     .00000     .00000    7803.00000
     220     221  ETA        .00     .54880     .00000     .00000        .00000
     130     321  K+        1.00     .49360     .00000     .00000    3709.00000
    -130    -321  K-       -1.00     .49360     .00000     .00000    3709.00000
     230     311  K0         .00     .49770     .00000     .00000        .00000
    -230    -311  AK0        .00     .49770     .00000     .00000        .00000
     330     331  ETAP       .00     .95750     .00020     .00200        .00000
     140    -421  AD0        .00    1.86450     .00000     .00000        .12800
    -140     421  D0         .00    1.86450     .00000     .00000        .12800
     240    -411  D-       -1.00    1.86930     .00000     .00000        .32000
    -240     411  D+        1.00    1.86930     .00000     .00000        .32000
     340    -431  DS-      -1.00    1.96930     .00000     .00000        .13100
    -340     431  DS+       1.00    1.96930     .00000     .00000        .13100
     440     441  ETAC       .00    2.97960     .00100     .00500        .00000
     150     521  UB.       1.00    5.27760     .00000     .00000        .39300
    -150    -521  BU.      -1.00    5.27760     .00000     .00000        .39300
     250     511  DB.        .00    5.27940     .00000     .00000        .39300
    -250    -511  BD.        .00    5.27940     .00000     .00000        .39300
     350     531  SB.        .00    5.47972     .00000     .00000        .39300
    -350    -531  BS.        .00    5.47972     .00000     .00000        .39300
     450     541  CB.       1.00    6.47000     .00000     .00000        .00000
    -450    -541  BC.      -1.00    6.47000     .00000     .00000        .00000
     550     551  BB.        .00    9.40000     .00000     .00000        .00000
     160    -621  UT.        .00                .00000     .00000        .00000
    -160     621  TU.        .00                .00000     .00000        .00000
     260    -611  DT.      -1.00                .00000     .00000        .00000
    -260     611  TD.       1.00                .00000     .00000        .00000
     360    -631  ST.      -1.00                .00000     .00000        .00000
    -360     631  TS.       1.00                .00000     .00000        .00000
     460    -641  CT.        .00                .00000     .00000        .00000
    -460     641  TC.        .00                .00000     .00000        .00000
     560    -651  BT.      -1.00                .00000     .00000        .00000
    -560     651  TB.       1.00                .00000     .00000        .00000
     660     661  TT.        .00                .00000     .00000        .00000
 
     111     113  RHO0       .00     .77000     .15300     .40000        .00000
     121     213  RHO+      1.00     .76690     .14900     .40000        .00000
    -121    -213  RHO-     -1.00     .76690     .14900     .40000        .00000
     221     223  OMEG       .00     .78200     .00850     .10000        .00000
     131     323  K*+       1.00     .89210     .05130     .20000        .00000
    -131    -323  K*-      -1.00     .89210     .05130     .20000        .00000
     231     313  K*0        .00     .89620     .05050     .20000        .00000
    -231    -313  AK*0       .00     .89620     .05050     .20000        .00000
     331     333  PHI        .00    1.01940     .00440     .01500        .00000
     141    -423  AD*0       .00    2.00710     .00000     .00000        .00000
    -141     423  D*0        .00    2.00710     .00000     .00000        .00000
     241    -413  D*-      -1.00    2.01010     .00000     .00000        .00000
    -241     413  D*+       1.00    2.01010     .00000     .00000        .00000
     341    -433  DS*-     -1.00    2.11270     .00000     .00000        .00000
    -341     433  DS*+      1.00    2.11270     .00000     .00000        .00000
     441     443  JPSI       .00    3.09690     .00000     .00000        .00000
     151     523  UB*       1.00    5.33540     .00000     .00000        .00000
    -151    -523  BU*      -1.00    5.33540     .00000     .00000        .00000
     251     513  DB*        .00    5.33540     .00000     .00000        .00000
    -251    -513  BD*        .00    5.33540     .00000     .00000        .00000
     351     533  SB*        .00    5.50680     .00000     .00000        .00000
    -351    -533  BS*        .00    5.50680     .00000     .00000        .00000
     451     543  CB*       1.00    6.51000     .00000     .00000        .00000
    -451    -543  BC*      -1.00    6.51000     .00000     .00000        .00000
     551     553  UPSL       .00    9.46030     .00000     .00000        .00000
     161    -623  UT*        .00                .00000     .00000        .00000
    -161     623  TU*        .00                .00000     .00000        .00000
     261    -613  DT*      -1.00                .00000     .00000        .00000
    -261     613  TD*       1.00                .00000     .00000        .00000
     361    -633  ST*      -1.00                .00000     .00000        .00000
    -361     633  TS*       1.00                .00000     .00000        .00000
     461    -643  CT*        .00                .00000     .00000        .00000
    -461     643  TC*        .00                .00000     .00000        .00000
     561    -653  BT*      -1.00                .00000     .00000        .00000
